comments	contain_gender_bias	bias	hate
게임 바둑이 노리터게임	False	none	none
죄인이존나ㅋㅋㅋㅋㅋ한남잼민이같아	False	none	hate
민주당 잡 것들 또 선동질 특검가자	False	none	hate
한남화됨	False	none	hate
너  그런게임해	False	none	none
능력이 안된다	False	none	hate
곽상도 아들이랑 장제원 아들이랑 닮음	False	none	none
문재인     출처	False	none	none
국야	False	none	none
우파를위해서라면	False	none	none
스우파 예고보고 또 하으으으윽	False	none	none
얘들아알티한거뭐야무슨애니야나급해좀	False	none	none
이건 한남유충이아니라 이미 한남인데	False	none	hate
아 김도영 스우파 다 보나봩ㅋㅋㅋㅋㅋ	False	none	none
렌다 나일베르트 라미트 옆으로 모여	False	none	none
내탐라한남이신고를했나보오	False	none	hate
문재앙이재앙 ㅋㅋㅋ	False	none	hate
픽시브 소설도 편하게 볼 수 있음	False	none	none
라인	False	none	none
콘솔게임 달걀 송훈	False	none	none
네 페미 당신말이 옳습니다 ㅎㅎ	False	none	none
트친소걸스플래닛 스우파그리고 일상	False	none	none
오징어게임아메리칸스나이퍼	False	none	none
ㅌㅂㅌ 밸런스게임 도입부분 개좋음	False	none	none
우천 노게임 제발	False	none	none
시발 스우파 까먹엇더	False	none	none
곧 스우파	False	none	none
유튭 애니	False	none	none
엔시티  스우파 과몰입남들	False	none	hate
멈머님 스우파 코카앤버터 메	False	none	none
예보수우파 사회단체에 부탁해야 겠지요	False	none	none
무 무슨애니애ㅠ진짜재밌아보인다	False	none	none
열공하고 스우파 볼 거야	False	none	none
오징어게임 미쳤구나	False	none	none
게임이나 찾아볼까	False	none	none
내가 페미정식 해주께요	False	none	hate
웹툰	False	none	none
왜 국민의 옳은 소리는 외면하고	False	none	hate
멋진 게임이었어 고맙다	False	none	none
수학책 펴놓고 트이타 중	False	none	none
하 이런 날씨에 랍상 국룰인디	False	none	none
국힘게이트	False	none	none
분 있다가 스우파 추석특집 봐야지	False	none	none
머리가 빈 깡통이라서	False	none	none
전정국귀여운거문재인도안다	False	none	none
저 스우파 안봐여 제송합니다	False	none	none
와 날씨 진짜 좆구리다반팔입을걸 시발	False	none	hate
민주당	False	none	none
개혁없는 민주당은 존재의 이유가 없다	False	none	hate
노엘 재밌어요	False	none	none
만욱 한남이야	False	none	hate
나 좌파라서 원래 세상 미워해	False	none	hate
추석이라 가능한 스우파 본방사수	False	none	none
스우파 나오면 티빙 들어갈게	False	none	none
알서두가 게임인가	False	none	none
