게임 바둑이 노리터게임,,TRUE
죄인이존나ㅋㅋㅋㅋㅋ한남잼민이같아,혐오,TRUE
민주당 잡 것들 또 선동질 특검가자,공격적인,TRUE
한남화됨,혐오,TRUE
너  그런게임해,,TRUE
능력이 안된다,공격적인,TRUE
곽상도 아들이랑 장제원 아들이랑 닮음,,TRUE
문재인     출처,,TRUE
국야,,TRUE
우파를위해서라면,,TRUE
스우파 예고보고 또 하으으으윽,,TRUE
얘들아알티한거뭐야무슨애니야나급해좀,,TRUE
이건 한남유충이아니라 이미 한남인데,혐오,TRUE
아 김도영 스우파 다 보나봩ㅋㅋㅋㅋㅋ,,TRUE
렌다 나일베르트 라미트 옆으로 모여,,TRUE
내탐라한남이신고를했나보오,혐오,TRUE
문재앙이재앙 ㅋㅋㅋ,혐오,TRUE
픽시브 소설도 편하게 볼 수 있음,,TRUE
라인,,TRUE
콘솔게임 달걀 송훈,,TRUE
네 페미 당신말이 옳습니다 ㅎㅎ,,TRUE
트친소걸스플래닛 스우파그리고 일상,,TRUE
오징어게임아메리칸스나이퍼,,TRUE
ㅌㅂㅌ 밸런스게임 도입부분 개좋음,,TRUE
우천 노게임 제발,,TRUE
시발 스우파 까먹엇더,,TRUE
곧 스우파,,TRUE
유튭 애니,,TRUE
엔시티  스우파 과몰입남들,공격적인,TRUE
멈머님 스우파 코카앤버터 메,,TRUE
예보수우파 사회단체에 부탁해야 겠지요,,TRUE
무 무슨애니애ㅠ진짜재밌아보인다,,TRUE
열공하고 스우파 볼 거야,,TRUE
오징어게임 미쳤구나,,TRUE
게임이나 찾아볼까,,TRUE
내가 페미정식 해주께요,혐오,TRUE
웹툰,,TRUE
왜 국민의 옳은 소리는 외면하고,공격적인,TRUE
멋진 게임이었어 고맙다,,TRUE
수학책 펴놓고 트이타 중,,TRUE
하 이런 날씨에 랍상 국룰인디,,TRUE
국힘게이트,,TRUE
분 있다가 스우파 추석특집 봐야지,,TRUE
머리가 빈 깡통이라서,,TRUE
전정국귀여운거문재인도안다,,TRUE
저 스우파 안봐여 제송합니다,,TRUE
와 날씨 진짜 좆구리다반팔입을걸 시발,공격적인,TRUE
민주당,,TRUE
개혁없는 민주당은 존재의 이유가 없다,공격적인,TRUE
노엘 재밌어요,,TRUE
만욱 한남이야,혐오,TRUE
나 좌파라서 원래 세상 미워해,공격적인,TRUE
추석이라 가능한 스우파 본방사수,,TRUE
스우파 나오면 티빙 들어갈게,,TRUE
알서두가 게임인가,,TRUE
도서관에서 애꿎은 책만 노려봄,,TRUE
아아니 케이콘 스우파 너무 짧아,,TRUE
오징어게임 개병신한남내남,혐오,TRUE
머머고 필터링없이 한남얼굴봤다 오마이,혐오,TRUE
한남이랑살래한남더힐에서살래,혐오,TRUE
곽상도 아들이오징어게임,,TRUE
문재인 대통령 힘들었겠다,,TRUE
쉅다녀옴교수님틀딱꼰대야화나,혐오,TRUE
이거 유사 눈치게임같고 괜찮네요,,TRUE
아 진짜,,TRUE
오 징어게임 자간 무슨 일인데,,TRUE
안녕하세요 한남입니다,혐오,TRUE
앙애니 안즈 너무 귀엽다ㅜㅜㅜ,,TRUE
하 내 문재인도 관심 줘,,TRUE
캠핑놀이,,TRUE
그냥 마저 다 애니화해줫으면 좋겟다,,TRUE
위례,,TRUE
바캉스,,TRUE
후야애들 게임 못하는구나 귀엽어,,TRUE
어떤 책이냐에 따라 다릅니다만,,TRUE
오늘 스우파 하는 날인데 나 왜 떨려,,TRUE
중도성향에 좌파 한큰술 좋다좋아,,TRUE
애니쪽은 누구 잇지,,TRUE
페미아녕,혐오,TRUE
시험하루뒤야처음책핌,,TRUE
아 스우파 스폐셜 안 봤네,,TRUE
아 애니타임 아,,TRUE
아 애니에 잇는 대산가,,TRUE
아트북을 사면 게임이 와요,,TRUE
저저저저 스우파 진심이에요ㅠㅠㅠㅠㅠㅠ,,TRUE
날씨 왜이랴,,TRUE
연나현,,TRUE
이번엔 먼게임 하는데 다들 알아,,TRUE
카케구루이 였답니다,,TRUE
감사합니다문재인대통령님,,TRUE
애니 아쿠다마 드라이브 리뷰,,TRUE
좋은 책 추천 좀,,TRUE
게임 주최자엿던 거 같은데,,TRUE
한남제논,혐오,TRUE
민주당 경선 아주 재밌구만,,TRUE
제가지금 문재인한테 물어봣어요,,TRUE
유미뒤진 남페미가 할말은 아니긔,혐오,TRUE
진짜ㅠㅠㅜ힐링애니예요ㅠㅠㅠ,,TRUE
은 박근혜 친인척들과 무슨 관계냐,,TRUE
이해찬우원식송영길,,TRUE
제로니모 애니도 잇엇는데 재밋음,,TRUE
내가 아이돌이라면,,TRUE
책묶ㅌ,,TRUE
하하하 스우파 재밋다,,TRUE
관심없고 뻐꾸기 둥지를,,TRUE
애니도 새 시즌 나오면 좋겠다,,TRUE
다솜,,TRUE
프세카애니,,TRUE
곽상도 억 개발이익 어디로 갔나,,TRUE
머야 스우파 녹화라도 가는거,,TRUE
꺅 입고 스우파나가줘,,TRUE
오징어 게임,,TRUE
맞아 노엘님용 오늘까지에요,,TRUE
얘들아나스우파보는중인데릴거같애,,TRUE
말투가 한남 찐인데 ㅋㅋ,혐오,TRUE
한남이 없는 나라로 이민,혐오,TRUE
흥 흥틀딱야바위 ㅋ,혐오,TRUE
애니몇화까지봄,,TRUE
에이 타장르 책 재미없잖아요,,TRUE
일종의 게임이네,,TRUE
그 말이 맞겠네요 실질적 국힘당 소속,,TRUE
ㅡㅡ 날씨 걱정된다길래 중단인줄,,TRUE
안해 스우파봐야돼,,TRUE
하남시,,TRUE
